course,lab_name,hours
SEC,vulnerability-assessment-lab,6
SEC,penetration-testing-practice,3
SEC,patch-management-practice,4
SEC,forensic-investigation-lab,6
SEC,policy-compliance-lab,6
SEC,compliance-check-lab,4
SEC,log-correlation-lab,6
SEC,patch-management-practice,6
CLD,autoscaling-policy-lab,3
CLD,cloud-performance-testing,5
CLD,identity-access-management-lab,5
CLD,load-balancing-lab,5
CLD,cloud-compliance-lab,3
CLD,networking-in-cloud-lab,6
CLD,cloud-performance-testing,4
CLD,cost-analysis-practice,5
CLD,cloud-cost-optimization,3
CLD,autoscaling-simulation,4
CLD,kubernetes-deployment-lab,6
CLD,deployment-pipeline-lab,3
CLD,identity-access-management-lab,6
CLD,disaster-recovery-cloud-lab,5
CLD,container-management-lab,5
CLD,kubernetes-deployment-lab,5
CLD,cloud-compliance-lab,4
CLD,cloud-security-advanced-lab,6
CLD,deployment-pipeline-lab,6
CLD,cloud-compliance-lab,5
CLD,storage-optimization-lab,5
CLD,identity-access-management-lab,4
CLD,autoscaling-simulation,6
CLD,kubernetes-deployment-lab,5
CLD,cost-analysis-practice,5
